2022-03-24 22:33:39,646 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,652 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,657 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,662 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,666 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,671 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,675 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,681 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,686 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,691 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,696 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,701 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,706 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,712 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,716 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,721 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,726 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,731 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,736 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,741 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,746 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,750 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,756 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,760 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,765 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,770 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,775 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,780 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,784 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,790 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,795 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,800 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,805 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,810 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,814 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,820 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,824 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,829 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,834 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,839 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,844 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,850 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,855 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,860 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,865 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,870 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,875 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,880 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,885 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,890 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,895 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,900 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,906 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,911 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,916 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,921 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,926 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,931 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,936 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,942 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
